Color,Pixels
"(0, 0, 0, 255)",6371
"(237, 233, 221, 255)",2952
"(237, 233, 224, 255)",2356
"(238, 234, 225, 255)",1926
"(236, 232, 220, 255)",1572
"(240, 236, 224, 255)",1126
"(236, 232, 223, 255)",1111
"(238, 234, 222, 255)",897
"(235, 231, 219, 255)",730
"(237, 232, 221, 255)",686
"(237, 233, 225, 255)",613
"(240, 236, 227, 255)",577
"(248, 248, 246, 255)",554
"(238, 233, 225, 255)",552
"(237, 234, 225, 255)",454
"(239, 235, 223, 255)",450
"(236, 233, 221, 255)",445
"(249, 249, 247, 255)",421
"(237, 232, 220, 255)",418
"(237, 232, 224, 255)",406
"(156, 172, 223, 255)",393
"(245, 245, 235, 255)",368
"(247, 247, 239, 255)",357
"(236, 232, 221, 255)",351
"(237, 233, 223, 255)",351
"(237, 233, 220, 255)",305
"(155, 171, 222, 255)",301
"(249, 249, 249, 255)",290
"(236, 233, 224, 255)",274
"(245, 245, 237, 255)",239
"(238, 234, 224, 255)",236
"(240, 235, 224, 255)",235
"(237, 233, 222, 255)",230
"(246, 246, 239, 255)",230
"(236, 233, 220, 255)",230
"(244, 244, 234, 255)",227
"(236, 232, 224, 255)",227
"(237, 232, 223, 255)",221
"(240, 235, 223, 255)",220
"(236, 232, 222, 255)",216
"(247, 247, 245, 255)",208
"(239, 235, 226, 255)",188
"(246, 246, 238, 255)",187
"(154, 170, 221, 255)",185
"(241, 236, 230, 255)",179
"(236, 233, 223, 255)",174
"(239, 235, 224, 255)",171
"(247, 248, 242, 255)",168
"(240, 236, 223, 255)",166
"(248, 248, 248, 255)",161
"(246, 247, 241, 255)",161
"(238, 238, 230, 255)",151
"(244, 244, 236, 255)",150
"(235, 232, 220, 255)",146
"(237, 234, 224, 255)",143
"(238, 233, 224, 255)",142
"(157, 173, 224, 255)",141
"(236, 231, 220, 255)",140
"(239, 236, 224, 255)",139
"(167, 190, 240, 255)",132
"(239, 236, 223, 255)",131
"(237, 234, 222, 255)",128
"(240, 236, 226, 255)",120
"(237, 218, 201, 255)",118
"(156, 147, 129, 255)",116
"(243, 243, 235, 255)",114
"(245, 245, 234, 255)",114
"(248, 248, 245, 255)",112
"(241, 242, 236, 255)",112
"(248, 248, 247, 255)",112
"(234, 231, 219, 255)",110
"(240, 240, 232, 255)",110
"(238, 233, 222, 255)",108
"(152, 172, 223, 255)",107
"(235, 231, 222, 255)",107
"(247, 247, 246, 255)",107
"(249, 249, 246, 255)",105
"(169, 192, 242, 255)",105
"(155, 146, 128, 255)",104
"(180, 203, 245, 255)",104
"(234, 230, 218, 255)",104
"(241, 237, 225, 255)",103
"(243, 244, 238, 255)",102
"(234, 208, 181, 255)",101
"(152, 168, 219, 255)",101
"(244, 244, 235, 255)",99
"(239, 239, 231, 255)",99
"(242, 243, 237, 255)",99
"(240, 235, 229, 255)",98
"(235, 231, 218, 255)",95
"(244, 244, 246, 255)",95
"(236, 232, 219, 255)",95
"(233, 207, 180, 255)",94
"(245, 244, 239, 255)",90
"(236, 231, 223, 255)",89
"(244, 243, 238, 255)",89
"(157, 148, 130, 255)",87
"(153, 169, 220, 255)",86
"(233, 201, 162, 255)",84
"(242, 242, 234, 255)",84
"(235, 231, 220, 255)",83
"(239, 236, 227, 255)",83
"(68, 48, 39, 255)",83
"(233, 229, 217, 255)",83
"(157, 171, 218, 255)",82
"(230, 203, 184, 255)",82
"(248, 249, 243, 255)",82
"(223, 196, 177, 255)",82
"(226, 199, 180, 255)",82
"(170, 193, 243, 255)",81
"(245, 245, 236, 255)",81
"(237, 237, 229, 255)",81
"(247, 247, 247, 255)",81
"(225, 198, 179, 255)",81
"(172, 196, 244, 255)",80
"(235, 209, 182, 255)",80
"(154, 168, 215, 255)",79
"(236, 217, 200, 255)",79
"(243, 243, 245, 255)",79
"(166, 189, 239, 255)",78
"(247, 247, 238, 255)",78
"(198, 213, 244, 255)",78
"(233, 228, 208, 255)",77
"(150, 141, 123, 255)",77
"(167, 189, 239, 255)",76
"(230, 203, 182, 255)",76
"(149, 140, 122, 255)",75
"(168, 191, 241, 255)",75
"(238, 234, 223, 255)",74
"(242, 242, 244, 255)",74
"(245, 246, 240, 255)",74
"(224, 197, 178, 255)",74
"(244, 245, 239, 255)",74
"(229, 202, 181, 255)",73
"(228, 195, 160, 255)",72
"(231, 199, 160, 255)",71
"(240, 236, 230, 255)",71
"(166, 188, 238, 255)",70
"(179, 200, 243, 255)",70
"(228, 201, 182, 255)",69
"(243, 243, 233, 255)",67
"(179, 202, 244, 255)",67
"(69, 49, 40, 255)",67
"(177, 200, 244, 255)",66
"(227, 200, 181, 255)",65
"(176, 199, 243, 255)",64
"(236, 231, 222, 255)",63
"(240, 235, 227, 255)",63
"(228, 203, 183, 255)",63
"(197, 212, 243, 255)",63
"(154, 174, 225, 255)",62
"(238, 219, 202, 255)",62
"(241, 237, 228, 255)",62
"(170, 192, 241, 255)",62
"(230, 199, 181, 255)",61
"(239, 239, 237, 255)",61
"(171, 193, 242, 255)",60
"(171, 195, 243, 255)",60
"(229, 202, 183, 255)",60
"(222, 195, 176, 255)",60
"(246, 246, 246, 255)",59
"(181, 202, 245, 255)",59
"(229, 196, 161, 255)",58
"(168, 190, 239, 255)",58
"(232, 205, 184, 255)",58
"(157, 179, 229, 255)",57
"(246, 246, 244, 255)",57
